time,SAP_flux,SAP_flux_err,PDCSAP_flux,PDCSAP_flux_err,sector
1790.9820383583924,7304.17041015625,16.028108596801758,8197.2939453125,18.424734115600586,18
1790.9834272448334,7313.138671875,15.987543106079102,8201.224609375,18.378103256225586,18
1790.9848161312734,7295.4892578125,16.025686264038086,8181.6875,18.42194938659668,18
1790.9862050177132,7302.40673828125,16.050073623657227,8189.955078125,18.449981689453125,18
1790.987593904153,7314.34130859375,15.992033958435059,8206.828125,18.383264541625977,18
1790.9889827905936,7288.09130859375,16.070789337158203,8200.4287109375,18.473796844482422,18
1790.990371677035,7316.97509765625,15.995826721191406,8207.7880859375,18.387624740600586,18
1790.9917605630098,7282.6982421875,16.04300880432129,8167.771484375,18.441862106323242,18
1790.9931494494494,7294.87109375,15.991691589355469,8199.5361328125,18.382871627807617,18
1790.9945383358895,7278.33984375,16.000022888183594,8167.30078125,18.392446517944336,18
1790.99592722233,7300.888671875,16.013519287109375,8189.57421875,18.407962799072266,18
1790.9973161083049,7266.60595703125,15.998900413513184,8180.326171875,18.391159057617188,18
1790.998704994745,7317.3642578125,16.102664947509766,8193.060546875,18.510438919067383,18
1791.0000938811854,7308.607421875,16.0175724029541,8191.095703125,18.412620544433594,18
1791.001482767626,7295.9541015625,16.038923263549805,8178.2861328125,18.437166213989258,18
1791.0028716536008,7277.431640625,16.025121688842773,8171.26611328125,18.421300888061523,18
1791.0042605400413,7296.05810546875,16.002208709716797,8187.1923828125,18.394962310791016,18
1791.0056494264813,7304.46533203125,16.01564598083496,8183.4111328125,18.41040802001953,18
1791.0070383124553,7275.94580078125,16.033838272094727,8174.60302734375,18.431320190429688,18
1791.0084271988958,7315.14208984375,16.02018165588379,8201.5751953125,18.415620803833008,18
1791.0098160848715,7257.77685546875,16.0396785736084,8174.17724609375,18.438034057617188,18
1791.011204971312,7280.8310546875,15.989726066589355,8177.99853515625,18.380613327026367,18
1791.0125938577517,7282.0146484375,15.995737075805664,8168.83154296875,18.387523651123047,18
1791.013982743726,7307.52685546875,16.054533004760742,8186.96142578125,18.455110549926758,18
1791.015371630166,7312.716796875,16.016841888427734,8197.6103515625,18.41178321838379,18
1791.0167605161414,7280.1591796875,16.00436782836914,8173.37646484375,18.397441864013672,18
1791.0181494025828,7320.23046875,16.027751922607422,8192.7646484375,18.4243221282959,18
1791.0195382885568,7324.02685546875,16.059310913085938,8212.865234375,18.460599899291992,18
1791.0209271749968,7263.3251953125,15.993663787841797,8171.57861328125,18.38513946533203,18
1791.0223160609708,7317.228515625,16.007816314697266,8215.7587890625,18.401409149169922,18
1791.0237049469458,7283.03662109375,15.999570846557617,8173.75634765625,18.391929626464844,18
1791.025093833387,7261.05126953125,15.999043464660645,8178.083984375,18.391321182250977,18
1791.0264827193619,7312.12841796875,16.04767417907715,8204.0517578125,18.44722557067871,18
1791.027871605802,7333.28271484375,16.00499725341797,8205.1513671875,18.398164749145508,18
1791.0292604917759,7313.9560546875,16.053207397460938,8182.06787109375,18.45358657836914,18
1791.0306493777507,7290.20263671875,16.025285720825195,8165.150390625,18.42148780822754,18
1791.0320382637256,7280.125,15.991865158081055,8170.4375,18.383071899414062,18
1791.0334271501656,7289.00927734375,16.055402755737305,8182.86328125,18.45611000061035,18
1791.0348160361405,7316.6943359375,16.00985336303711,8206.1796875,18.403749465942383,18
1791.0362049221153,7266.11083984375,16.018020629882812,8161.7958984375,18.413137435913086,18
1791.0375938085558,7304.75537109375,16.015609741210938,8173.37744140625,18.41036605834961,18
1791.0389826945307,7312.2421875,16.02326774597168,8187.36962890625,18.419170379638672,18
1791.040371580505,7285.97705078125,16.06313133239746,8169.83056640625,18.46499252319336,18
1791.0417604664792,7275.52099609375,15.998047828674316,8169.92138671875,18.390178680419922,18
1791.0431493524543,7287.2255859375,16.01894187927246,8172.857421875,18.414196014404297,18
1791.0445382384296,7285.96533203125,16.015539169311523,8152.560546875,18.41028594970703,18
1791.0473160108445,7297.95947265625,16.008602142333984,8170.1796875,18.40230941772461,18
1791.0487048968184,7313.400390625,16.023433685302734,8192.814453125,18.41935920715332,18
1791.0500937827928,7317.2177734375,16.032316207885742,8196.2021484375,18.4295711517334,18
1791.0514826687684,7297.9599609375,16.052024841308594,8189.45166015625,18.452224731445312,18
1791.052871554744,7306.90478515625,16.026662826538086,8196.8359375,18.423070907592773,18
1791.0542604407183,7268.56591796875,16.008291244506836,8184.73486328125,18.401952743530273,18
1791.0556493266922,7306.18017578125,16.007829666137695,8185.61474609375,18.40142250061035,18
1791.0570382126666,7333.30810546875,16.08234405517578,8196.330078125,18.487079620361328,18
1791.0584270986415,7293.04638671875,16.006778717041016,8183.11279296875,18.40021324157715,18
